,Disease,Description,Symptoms
0,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
1,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
2,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
3,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,"
4,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,"
5,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.," skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
6,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
7,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
8,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,"
9,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,"
10,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
11,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
12,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
13,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,"
14,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,"
15,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.," skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
16,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
17,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
18,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,"
19,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,"
20,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
21,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
22,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
23,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,"
24,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,"
25,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.," skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
26,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
27,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
28,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,"
29,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,"
30,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
31,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
32,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
33,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,"
34,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,"
35,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.," skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
36,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
37,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
38,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,"
39,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,"
40,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
41,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
42,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
